Date,market_value,balance,stock_owned,price,action,amount
2022-10-03,223577.60060263675,450.3330245117486,69,3233.728515625,buy,0
2022-10-04,225931.88868857425,450.3330245117486,69,3267.8486328125,buy,0
2022-10-06,225337.403825293,450.3330245117486,69,3259.23291015625,buy,0
2022-10-07,226333.82716513675,450.3330245117486,69,3273.673828125,buy,0
2022-10-10,221892.10377646488,450.3330245117486,69,3209.301025390625,buy,0
2022-10-11,223293.86842490238,450.3330245117486,69,3229.616455078125,buy,0
2022-10-12,219882.34401083988,450.3330245117486,69,3180.174072265625,buy,0
2022-10-13,217234.19947958988,450.3330245117486,69,3141.795166015625,buy,0
2022-10-14,215646.62672568363,450.3330245117486,69,3118.786865234375,buy,0
2022-10-17,216464.08131552738,450.3330245117486,69,3130.634033203125,buy,0
2022-10-18,218372.49733115238,450.3330245117486,69,3158.292236328125,buy,0
2022-10-19,217487.52516318363,450.3330245117486,69,3145.466552734375,buy,0
2022-10-20,212633.70533896488,450.3330245117486,69,3075.121337890625,buy,0
2022-10-21,209357.26661826175,450.3330245117486,69,3027.63671875,buy,0
2022-10-24,211333.26759482425,450.3330245117486,69,3056.2744140625,buy,0
2022-10-25,208850.61525107425,450.3330245117486,69,3020.2939453125,buy,0
2022-10-27,206050.45509482425,450.3330245117486,69,2979.7119140625,buy,0
2022-10-28,206722.632340918,450.3330245117486,69,2989.45361328125,buy,0
2022-10-31,210693.8383956055,450.3330245117486,69,3047.00732421875,buy,0
2022-11-01,214191.46119833988,450.3330245117486,69,3097.697509765625,buy,0
2022-11-02,212331.00489951175,450.3330245117486,69,3070.734375,sell,0
2022-11-03,212966.96388388675,450.3330245117486,69,3079.951171875,buy,0
2022-11-04,215676.44362021488,450.3330245117486,69,3119.218994140625,buy,0
2022-11-07,210413.08790732425,450.3330245117486,69,3042.9384765625,buy,0
2022-11-09,209259.61207724613,450.3330245117486,69,3026.221435546875,buy,0
2022-11-10,206462.16407919925,450.3330245117486,69,2985.6787109375,buy,0
2022-11-11,207155.60060263675,450.3330245117486,69,2995.728515625,sell,0
2022-11-14,207006.76881552738,450.3330245117486,69,2993.571533203125,buy,0
2022-11-15,208772.53541708988,450.3330245117486,69,3019.162353515625,buy,0
2022-11-16,209026.19801474613,450.3330245117486,69,3022.838623046875,buy,0
2022-11-17,208251.58204794925,450.3330245117486,69,3011.6123046875,buy,0
2022-11-18,209868.48317099613,450.3330245117486,69,3035.045654296875,buy,0
2022-11-21,209854.93922568363,450.3330245117486,69,3034.849365234375,buy,0
2022-11-22,210394.4336014649,97794.82495888676,37,3043.232666015625,sell,32
2022-11-23,210283.77686318365,97794.82495888676,37,3040.241943359375,buy,0
2022-11-24,210791.4806268555,143593.3829706055,22,3054.458984375,sell,15
2022-11-25,210637.24966982426,143593.3829706055,22,3047.448486328125,sell,0
2022-11-28,211565.852697168,143593.3829706055,22,3089.65771484375,buy,0
2022-11-29,211217.48892763676,143593.3829706055,22,3073.822998046875,buy,0
2022-11-30,212082.46060732426,143593.3829706055,22,3113.139892578125,sell,0
2022-12-01,212173.06021669926,143593.3829706055,22,3117.258056640625,buy,0
2022-12-02,211398.682775293,143593.3829706055,22,3082.05908203125,buy,0
2022-12-05,211688.7970331055,143593.3829706055,22,3095.24609375,buy,0
2022-12-06,211792.340978418,143593.3829706055,22,3099.95263671875,buy,0
2022-12-07,213190.1036737305,143593.3829706055,22,3163.4873046875,buy,0
2022-12-08,213081.167150293,143593.3829706055,22,3158.53564453125,sell,0
2022-12-09,213199.80924013676,143593.3829706055,22,3163.928466796875,buy,0
2022-12-12,211865.32644892583,75266.80008173833,44,3104.511962890625,buy,22
2022-12-13,212389.48074580083,75266.80008173833,44,3116.424560546875,buy,0
2022-12-14,210985.26199580083,75266.80008173833,44,3084.510498046875,buy,0
2022-12-15,210323.04910517583,75266.80008173833,44,3069.460205078125,buy,0
2022-12-16,207100.43582392583,75266.80008173833,44,2996.218994140625,buy,0
2022-12-19,208181.09988642583,75266.80008173833,44,3020.779541015625,sell,0
2022-12-20,208232.86648798833,75266.80008173833,44,3021.9560546875,buy,0
2022-12-21,207693.61941767583,75266.80008173833,44,3009.700439453125,buy,0
2022-12-22,208508.97293330083,75266.80008173833,44,3028.231201171875,buy,0
2022-12-23,207186.71707392583,75266.80008173833,44,2998.179931640625,sell,0
2022-12-26,207106.90262080083,75266.80008173833,44,2996.365966796875,buy,0
2022-12-27,209546.51785517583,75266.80008173833,44,3051.811767578125,buy,0
2022-12-28,210025.36160517583,75266.80008173833,44,3062.694580078125,buy,0
2022-12-29,209656.51785517583,75266.80008173833,44,3054.311767578125,buy,0
2022-12-30,208480.93582392583,75266.80008173833,44,3027.593994140625,sell,0
2023-01-02,206711.73747675784,36410.66936152348,57,2987.738037109375,buy,13
2023-01-03,205636.81182539067,3737.4075285156723,68,2969.10888671875,buy,11
2023-01-04,204876.75909101567,3737.4075285156723,68,2957.931640625,buy,0
2023-01-05,204043.36065351567,3737.4075285156723,68,2945.67578125,buy,0
2023-01-06,202313.21221601567,3737.4075285156723,68,2920.232421875,buy,0
2023-01-09,202695.4051492188,810.3670632812973,69,2925.8701171875,buy,1
2023-01-10,201077.18259111332,21119.98776689458,62,2902.535400390625,sell,7
2023-01-11,199864.41354814457,21119.98776689458,62,2882.974609375,buy,0
2023-01-12,198378.12399736332,21119.98776689458,62,2859.002197265625,buy,0
2023-01-13,197964.74020830082,21119.98776689458,62,2852.334716796875,buy,0
2023-01-16,198384.19382158207,21119.98776689458,62,2859.10009765625,buy,0
2023-01-17,199894.79294267582,21119.98776689458,62,2883.464599609375,buy,0
2023-01-18,200159.24655595707,21119.98776689458,62,2887.72998046875,buy,0
2023-01-19,195350.81052080082,21119.98776689458,62,2810.174560546875,buy,0
2023-01-20,190587.98141923832,21119.98776689458,62,2733.354736328125,buy,0
2023-01-23,190384.34714189457,21119.98776689458,62,2730.0703125,sell,0
2023-01-24,191973.97507158207,21119.98776689458,62,2755.70947265625,buy,0
2023-01-25,189802.27527480474,2066.7349916016137,69,2720.804931640625,buy,7
2023-01-27,186260.66834121099,2066.7349916016137,69,2669.477294921875,buy,0
2023-01-30,189206.94812636724,2066.7349916016137,69,2712.177001953125,sell,0
2023-01-31,186477.15247207036,2066.7349916016137,69,2672.61474609375,buy,0
2023-02-01,187688.13953261724,2066.7349916016137,69,2690.165283203125,buy,0
2023-02-02,185110.56165175786,2066.7349916016137,69,2652.80908203125,buy,0
2023-02-03,188814.54431777349,2066.7349916016137,69,2706.489990234375,buy,0
2023-02-06,188395.1031556641,2066.7349916016137,69,2700.4111328125,buy,0
2023-02-07,188655.55457167974,2066.7349916016137,69,2704.185791015625,buy,0
2023-02-08,189166.34998183599,2066.7349916016137,69,2711.588623046875,buy,0
2023-02-09,192481.31482558599,2066.7349916016137,69,2759.631591796875,buy,0
2023-02-10,191804.79138808599,2066.7349916016137,69,2749.826904296875,buy,0
2023-02-13,190867.79968886724,2066.7349916016137,69,2736.247314453125,buy,0
2023-02-14,189937.5631166016,2066.7349916016137,69,2722.765625,buy,0
